ticker,as_of_date,+target_days,predicted_for,latest_close,predicted_price,direction,action
AAPL,2025-11-12,1,2025-11-13,273.4700012207031,273.6690418038986,UP,SELL/HOLD
AMZN,2025-11-12,1,2025-11-13,244.1999969482422,245.20376741168366,UP,SELL/HOLD
GOOGL,2025-11-12,1,2025-11-13,286.7099914550781,286.53935186473416,DOWN,BUY/HOLD
META,2025-11-12,1,2025-11-13,609.010009765625,611.3814237943841,UP,SELL/HOLD
MSFT,2025-11-12,1,2025-11-13,511.1400146484375,509.6026856562476,DOWN,BUY/HOLD
NVDA,2025-11-12,1,2025-11-13,193.8000030517578,193.29408507643424,DOWN,BUY/HOLD
TSLA,2025-11-12,1,2025-11-13,430.6000061035156,430.45491251966325,DOWN,BUY/HOLD
AAPL,2025-11-12,2,2025-11-14,273.4700012207031,273.4653524729897,DOWN,BUY/HOLD
AMZN,2025-11-12,2,2025-11-14,244.1999969482422,245.52971546982707,UP,SELL/HOLD
GOOGL,2025-11-12,2,2025-11-14,286.7099914550781,285.97832324794786,DOWN,BUY/HOLD
META,2025-11-12,2,2025-11-14,609.010009765625,612.685938482361,UP,SELL/HOLD
MSFT,2025-11-12,2,2025-11-14,511.1400146484375,508.873454061713,DOWN,BUY/HOLD
NVDA,2025-11-12,2,2025-11-14,193.8000030517578,192.79115693907806,DOWN,BUY/HOLD
TSLA,2025-11-12,2,2025-11-14,430.6000061035156,429.9437242178078,DOWN,BUY/HOLD
AAPL,2025-11-12,3,2025-11-17,273.4700012207031,273.2284433024476,DOWN,BUY/HOLD
AMZN,2025-11-12,3,2025-11-17,244.1999969482422,246.32889673675163,UP,SELL/HOLD
GOOGL,2025-11-12,3,2025-11-17,286.7099914550781,285.8625407970525,DOWN,BUY/HOLD
META,2025-11-12,3,2025-11-17,609.010009765625,615.4699976661482,UP,SELL/HOLD
MSFT,2025-11-12,3,2025-11-17,511.1400146484375,508.163171017326,DOWN,BUY/HOLD
NVDA,2025-11-12,3,2025-11-17,193.8000030517578,192.4107208113777,DOWN,BUY/HOLD
TSLA,2025-11-12,3,2025-11-17,430.6000061035156,430.0253525582149,DOWN,BUY/HOLD
AAPL,2025-11-12,4,2025-11-18,273.4700012207031,273.4491137011222,DOWN,BUY/HOLD
AMZN,2025-11-12,4,2025-11-18,244.1999969482422,247.04780450343694,UP,SELL/HOLD
GOOGL,2025-11-12,4,2025-11-18,286.7099914550781,285.8181233717968,DOWN,BUY/HOLD
META,2025-11-12,4,2025-11-18,609.010009765625,617.0114812386244,UP,SELL/HOLD
MSFT,2025-11-12,4,2025-11-18,511.1400146484375,507.3873976737058,DOWN,BUY/HOLD
NVDA,2025-11-12,4,2025-11-18,193.8000030517578,191.86456832048896,DOWN,BUY/HOLD
TSLA,2025-11-12,4,2025-11-18,430.6000061035156,429.30767939590055,DOWN,BUY/HOLD
AAPL,2025-11-12,5,2025-11-19,273.4700012207031,273.6879495927391,UP,SELL/HOLD
AMZN,2025-11-12,5,2025-11-19,244.1999969482422,247.62049397147675,UP,SELL/HOLD
GOOGL,2025-11-12,5,2025-11-19,286.7099914550781,286.056780413439,DOWN,BUY/HOLD
META,2025-11-12,5,2025-11-19,609.010009765625,618.2090476849006,UP,SELL/HOLD
MSFT,2025-11-12,5,2025-11-19,511.1400146484375,508.6552858555675,DOWN,BUY/HOLD
NVDA,2025-11-12,5,2025-11-19,193.8000030517578,192.02750360235638,DOWN,BUY/HOLD
TSLA,2025-11-12,5,2025-11-19,430.6000061035156,429.2741242875218,DOWN,BUY/HOLD
AAPL,2025-11-12,6,2025-11-20,273.4700012207031,273.88823616515344,UP,SELL/HOLD
AMZN,2025-11-12,6,2025-11-20,244.1999969482422,247.9420326013419,UP,SELL/HOLD
GOOGL,2025-11-12,6,2025-11-20,286.7099914550781,285.8830578676334,DOWN,BUY/HOLD
META,2025-11-12,6,2025-11-20,609.010009765625,618.6388640430887,UP,SELL/HOLD
MSFT,2025-11-12,6,2025-11-20,511.1400146484375,509.1142514488896,DOWN,BUY/HOLD
NVDA,2025-11-12,6,2025-11-20,193.8000030517578,192.21084002077026,DOWN,BUY/HOLD
TSLA,2025-11-12,6,2025-11-20,430.6000061035156,428.6176452641663,DOWN,BUY/HOLD
AAPL,2025-11-12,7,2025-11-21,273.4700012207031,274.06124641267627,UP,SELL/HOLD
AMZN,2025-11-12,7,2025-11-21,244.1999969482422,248.02681668247763,UP,SELL/HOLD
GOOGL,2025-11-12,7,2025-11-21,286.7099914550781,286.1169478319272,DOWN,BUY/HOLD
META,2025-11-12,7,2025-11-21,609.010009765625,617.9917397962607,UP,SELL/HOLD
MSFT,2025-11-12,7,2025-11-21,511.1400146484375,509.4217601979137,DOWN,BUY/HOLD
NVDA,2025-11-12,7,2025-11-21,193.8000030517578,192.83234611271655,DOWN,BUY/HOLD
TSLA,2025-11-12,7,2025-11-21,430.6000061035156,428.5687561441895,DOWN,BUY/HOLD
